没有电话	快递放没有人知息化地方 也没有电话告知 快递太差
很快 价格	面料类型 摸起来很舒服 纯棉来的试穿效果 目前还没穿 只穿了蓝色那款 感觉还不错尺码大小 标准尺码来的 码刚好合身 不宽大也不偏长其他特色 京东物流很快的 价格也很实惠 之前很少在京东上买衣服 现在爱上了
降价太快	降价也太快了吧 大洋没了
在热环境穿 	在热的环境穿 很舒服 还不粘
说好发票	说好的发票都没有 没诚信 严重差评
柔软程度	柔软程度 非常非常柔软 材质细腻 很舒服尺码大小 尺码刚好合适
衣服是穿两天后	这件衣服是穿了两天后才评价的 真的穿起来很舒服 在屋子里面有时候会热 出一点汗 一点也不沾后背 很好 以后还会买班尼路的衣服 物美价廉
衣服很好看 黑色	衣服很好看 黑色的比较修身
收到 觉得做工偷工减料	收到了 觉得做工偷工减料 太薄了透明的
尺码正好 看上去很	尺码正好 看上去很好 刚洗了 干了穿上看看
合适面料	尺码大小 比较合适 按推荐的尺码买的 很合适面料类型 面料很舒服 是纯棉的 穿着轻薄 夏天穿很合适试穿效果 休闲款 颜色是灰色 也百搭 很合适物流很快 中间因为尺码的问题 换货了 服务也很好 很爽快的就换了 点个赞 全程不操心 最后结果很顺利也跟满意
面料很舒服	尺码大小 比较合适 按推荐的尺码买的 很合适面料类型 面料很舒服 是纯棉的 穿着轻薄 夏天穿很合适试穿效果 休闲款 颜色是灰色 也百搭 很合适物流很快 中间因为尺码的问题 换货了 服务也很好 很爽快的就换了 点个赞 全程不操心 最后结果很顺利也跟满意
合适物流	尺码大小 比较合适 按推荐的尺码买的 很合适面料类型 面料很舒服 是纯棉的 穿着轻薄 夏天穿很合适试穿效果 休闲款 颜色是灰色 也百搭 很合适物流很快 中间因为尺码的问题 换货了 服务也很好 很爽快的就换了 点个赞 全程不操心 最后结果很顺利也跟满意
偏长 	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
表面就有	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
质感 	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
透气性 	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
接受价格	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
个人觉得	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
弹性 	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
是便宜货	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
用心做	尺码大小 合适 就是偏长  面料类型 纯棉吧 洗过一次表面就有毛毛了面料质感 还可以透气性 还行试穿效果 除了长一点其他都可以接受价格卖这衣服个人觉得不太值得 首先上面我有说过一点其次就是这个衣服你不知道会不会洗着洗着变长 虽然没有什么弹性 然后就是会皱 显得这件衣服是便宜货  这个价钱不太理想个人以为面料什么的会好一点的前面不会皱  加上衣服设计差得离谱   不用心做 冒牌货打着品牌买高价
产品材质 差	产品材质 差
质量不错	衣服收到了 质量还不错 摸起来手感舒服 薄款秋装卫衣给儿子和老公买的 是他喜欢的款式 上身效果很好 非常帅气 在广东现在这种天气穿一件打底刚好
起来手感	衣服收到了 质量还不错 摸起来手感舒服 薄款秋装卫衣给儿子和老公买的 是他喜欢的款式 上身效果很好 非常帅气 在广东现在这种天气穿一件打底刚好
喜欢款式	衣服收到了 质量还不错 摸起来手感舒服 薄款秋装卫衣给儿子和老公买的 是他喜欢的款式 上身效果很好 非常帅气 在广东现在这种天气穿一件打底刚好
帅气 	衣服收到了 质量还不错 摸起来手感舒服 薄款秋装卫衣给儿子和老公买的 是他喜欢的款式 上身效果很好 非常帅气 在广东现在这种天气穿一件打底刚好
面料很舒服	面料很舒服 做工不错 活动期间价钱划算 物流很给力
价钱划算	面料很舒服 做工不错 活动期间价钱划算 物流很给力
垃圾别买 踩雷	垃圾别买 踩雷了
轻薄 凉快 很棒	轻薄 凉快 很棒 价格很实惠 颜色很丰富
面料非常舒服	班尼路这个品牌以前是一个非常好的品牌 虽然现在有一点不合潮流了 但是这件衣服的面料非常舒服全棉的 价格也低廉 性价比很高
全棉 	班尼路这个品牌以前是一个非常好的品牌 虽然现在有一点不合潮流了 但是这件衣服的面料非常舒服全棉的 价格也低廉 性价比很高
价格低廉	班尼路这个品牌以前是一个非常好的品牌 虽然现在有一点不合潮流了 但是这件衣服的面料非常舒服全棉的 价格也低廉 性价比很高
性价比很高	班尼路这个品牌以前是一个非常好的品牌 虽然现在有一点不合潮流了 但是这件衣服的面料非常舒服全棉的 价格也低廉 性价比很高
质量行 	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
皱料子	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
价格很合适	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
没发货	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
小时 	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
客服找	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
发货 	衣服质量还行 特别薄 夏天穿应该挺凉快的 颜色比较深 应该不会透 就是属于容易皱的料子 活动价格很合适 就是客服很不好 付款五天没发货 问就小时 永远的小时自动回复 人工客服找不见 问了两次着急了介入京东纠纷 第二天就发货了 然后 取消纠纷 我平常只有买东西才登录京东 一时没看到消息就一天不停的打电话 用了七八个号码打
重要性 	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
晒图重要性	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
电商购买	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
质量有	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
物流配送快捷	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
实体店折扣	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
用心 	自从注册了网上商城以来 一直就不在意积分怎么用 后来知道了评论的重要性 晒图的重要性 还有晒视频 家里的东西大多都是在电商购买的 以来不用出门瞎逛 而来还能免去出门的后续琐事 真的网上商城让我越来越懒 可是有什么办法呢 网上的东西那么好 日期很新鲜 质量有保障 物流配送快捷 买生活用品假货风险很低 买大品牌比实体店折扣低 还送购物券和津贴 对我们真是太用心了 以前都没有认真评价过 以后需要还会回顾的
尺码偏大一直穿两个	尺码偏大我一直穿两个西买这就太大了尺码大小 尺码偏大
收到面料	收到面料一般了马虎
处理好几天一直没	处理了好几天一直没处理好 心有些伤了 订码 他们给我发码 烦死了
衣服发红掉色掉色掉色	衣服发红掉色掉色掉色
价格合适	挺好的 价格合适 质量不错 随便穿穿 很实惠
质量不错	挺好的 价格合适 质量不错 随便穿穿 很实惠
不好 质量	太薄了 不好 质量不好
裤子 	双十一拼命买了三条裤子 这条裤子编号 网页图片上明眼看就是条深蓝色裤子 可快递发来的同编号标牌裤子却是黑色的 我申请换色 售后同意换货 发回班尼路公司 二次发回 打开一看发回去换色的两条裤子原封不动又发回来 售后说裤子标牌的编码是对的 颜色是显示器的问题 有差异 他们只管裤子标牌对不对 纠缠了大半个月还在扯皮 好有意思 看客们看看我拿到裤子和网页的颜色有差别吗 我没色盲吧
裤子 	双十一拼命买了三条裤子 这条裤子编号 网页图片上明眼看就是条深蓝色裤子 可快递发来的同编号标牌裤子却是黑色的 我申请换色 售后同意换货 发回班尼路公司 二次发回 打开一看发回去换色的两条裤子原封不动又发回来 售后说裤子标牌的编码是对的 颜色是显示器的问题 有差异 他们只管裤子标牌对不对 纠缠了大半个月还在扯皮 好有意思 看客们看看我拿到裤子和网页的颜色有差别吗 我没色盲吧
拿到裤子	双十一拼命买了三条裤子 这条裤子编号 网页图片上明眼看就是条深蓝色裤子 可快递发来的同编号标牌裤子却是黑色的 我申请换色 售后同意换货 发回班尼路公司 二次发回 打开一看发回去换色的两条裤子原封不动又发回来 售后说裤子标牌的编码是对的 颜色是显示器的问题 有差异 他们只管裤子标牌对不对 纠缠了大半个月还在扯皮 好有意思 看客们看看我拿到裤子和网页的颜色有差别吗 我没色盲吧
码数刚好 	一次买四件 优惠多多 斤 我这个码数刚好 含棉量很高 但居然不一样 透气性 夏天透气试穿效果 效果还不错 性价比高
含棉量	一次买四件 优惠多多 斤 我这个码数刚好 含棉量很高 但居然不一样 透气性 夏天透气试穿效果 效果还不错 性价比高
透气性 	一次买四件 优惠多多 斤 我这个码数刚好 含棉量很高 但居然不一样 透气性 夏天透气试穿效果 效果还不错 性价比高
透气试穿	一次买四件 优惠多多 斤 我这个码数刚好 含棉量很高 但居然不一样 透气性 夏天透气试穿效果 效果还不错 性价比高
性价比高	一次买四件 优惠多多 斤 我这个码数刚好 含棉量很高 但居然不一样 透气性 夏天透气试穿效果 效果还不错 性价比高
线头都没有	班尼路衣服做工精良 多余的线头都没有 而且还很耐穿 衣服的颜色也很好看  衣服价格也很实惠 这是第二次购买了
裤子很合身	裤子很合身 颜色也挺好看 快递速度真快
快递速度	裤子很合身 颜色也挺好看 快递速度真快
物流很快 	纯棉的 四件衣服 码数很正很好的衣服 物流很快 商家态度挺好 好评
很快 商家	纯棉的 四件衣服 码数很正很好的衣服 物流很快 商家态度挺好 好评
有点褪色	泡了一晚上有点褪色弹力不是很大用料也不咋地还没我花了买的裤子用料好
很大用料	泡了一晚上有点褪色弹力不是很大用料也不咋地还没我花了买的裤子用料好
花裤子	泡了一晚上有点褪色弹力不是很大用料也不咋地还没我花了买的裤子用料好
用料好	泡了一晚上有点褪色弹力不是很大用料也不咋地还没我花了买的裤子用料好
裤子非常好	裤子非常好 尺码合适 还有弹性 穿起来非常舒适 价格也非常便宜 很满意的一次购物
还有弹性	裤子非常好 尺码合适 还有弹性 穿起来非常舒适 价格也非常便宜 很满意的一次购物
价格非常便宜	裤子非常好 尺码合适 还有弹性 穿起来非常舒适 价格也非常便宜 很满意的一次购物
裤子 	裤子 非常好非常喜欢
一洗水就缩小 	一洗水就缩小了 买大一点的好
产品质量非常不错	产品质量非常不错 下次继续支持京东商城
给第一感觉就是轻盈	给我第一感觉就是轻盈 凉爽 很适合夏天穿
质感 	面料质感 很薄 勾一下就会破
第一次网上买裤 竟然	第一次网上买裤 竟然裤褪一长一短
本来以为是黑色呢	本来看图片以为是黑色呢 拿到一看是墨绿 吓一跳 不过这个颜色也还蛮好的 去年买了一件蓝色的配牛仔裤很棒 这一件看上去也不错呢
掉色 水货裤子	掉色 水货裤子
蹄子穿够	秒杀的 超级便宜买的 给大猪蹄子穿够够的了
多次购买 穿着很	多次购买了 穿着很舒服 经济实惠
太小 	太小了 没法穿 我一直穿小码
质量不行	裤子质量不行 口袋地方位置严重变形
严重变形	裤子质量不行 口袋地方位置严重变形
裤子穿着	裤子穿着舒服 很适合热天穿 值得选购 值得信赖 打算再买一条
适合热天	裤子穿着舒服 很适合热天穿 值得选购 值得信赖 打算再买一条
尺码偏小换不好换	尺码偏小了换还不好换
裤子不错	这裤子不错 非常满意 等过几天降价了再买 很有腿感 面料材质 很舒服弹性大小 较小 感觉有点硬 满意
降价再 	这裤子不错 非常满意 等过几天降价了再买 很有腿感 面料材质 很舒服弹性大小 较小 感觉有点硬 满意
舒服弹性	这裤子不错 非常满意 等过几天降价了再买 很有腿感 面料材质 很舒服弹性大小 较小 感觉有点硬 满意
有点硬	这裤子不错 非常满意 等过几天降价了再买 很有腿感 面料材质 很舒服弹性大小 较小 感觉有点硬 满意
新买衣服上边有个洞	新买的衣服上边有个洞商家不管 班尼路品牌现在太差了
裤子 	好久没给不好的评价了 买的-的裤子 我穿鞋 体重只有斤的人 首先洗澡后裤腿短了 而且松紧的地方勒死我了 我直接把绳子都扔了还是嘞 不敢想象那些比我胖的人 不过质量还行吧 想买的就买大一号
质量还行 	好久没给不好的评价了 买的-的裤子 我穿鞋 体重只有斤的人 首先洗澡后裤腿短了 而且松紧的地方勒死我了 我直接把绳子都扔了还是嘞 不敢想象那些比我胖的人 不过质量还行吧 想买的就买大一号
是否舒适 很舒服	是否舒适 很舒服尺码大小 正好材质 纯棉版型 做工不错
客服是	客服是一点也不看消息 而且衣服有点紧
有点紧	客服是一点也不看消息 而且衣服有点紧
薄 舒适 特别	薄 舒适 特别是裤脚的材质 摸起来很柔顺
裤子掉色	裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了
裤子掉色	裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了
裤子掉色	裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了      裤子掉色严重掉色严重掉色严重 已经单独洗过了 还这样    白衣都废了
有点缩水	将就可用 洗后有点缩水
价格很合适	价格很合适 质量能够保证 整体不错 物流也很快 推荐的尺码也很合适 可以的   包装袋不错
质量能够	价格很合适 质量能够保证 整体不错 物流也很快 推荐的尺码也很合适 可以的   包装袋不错
整体不错	价格很合适 质量能够保证 整体不错 物流也很快 推荐的尺码也很合适 可以的   包装袋不错
物流很快 	价格很合适 质量能够保证 整体不错 物流也很快 推荐的尺码也很合适 可以的   包装袋不错
包装袋不错	价格很合适 质量能够保证 整体不错 物流也很快 推荐的尺码也很合适 可以的   包装袋不错
显得有点	我的身高体重  尺码大小 码合适都说红男绿女 买家秀颜色显得有点失实 实物颜色与卖家秀一致 颜色很正 很喜欢
速度很快 	物流速度很快 包装很结实无破损 一直相信品牌的质量 很好穿 很合身 客服给推荐的尺码也很合适 会继续关注的 不错不错不错哦
结实无	物流速度很快 包装很结实无破损 一直相信品牌的质量 很好穿 很合身 客服给推荐的尺码也很合适 会继续关注的 不错不错不错哦
质量 	物流速度很快 包装很结实无破损 一直相信品牌的质量 很好穿 很合身 客服给推荐的尺码也很合适 会继续关注的 不错不错不错哦
有点长	衣服有点长 比一般的正常码长 建议买小一码
小一码	衣服有点长 比一般的正常码长 建议买小一码
透气 	衣服很轻薄 透气 舒服 非常休闲 我的身高体重 斤穿码很合适 尺码大小 尺码很合适 面料类型 面料很舒服 柔软 亲肤 试穿效果 穿起来很舒服
面料很舒服	衣服很轻薄 透气 舒服 非常休闲 我的身高体重 斤穿码很合适 尺码大小 尺码很合适 面料类型 面料很舒服 柔软 亲肤 试穿效果 穿起来很舒服
客服服务垃圾	客服服务跟垃圾
起球 	这件衣服的质感还是挺好的 刚开始穿的时候还觉得挺不错的 穿了两三个星期之后 这个衣服的后面就起球了 感觉有点坑啊 这不是我想要的结果
想要结果	这件衣服的质感还是挺好的 刚开始穿的时候还觉得挺不错的 穿了两三个星期之后 这个衣服的后面就起球了 感觉有点坑啊 这不是我想要的结果
裤子 	裤子还可以 就是掉色 水都成墨水
质量太差	刚买穿了没几天就破了 质量也太差了吧
非常好看 非常漂亮	非常好看 非常漂亮 非常舒服 以后遇到合适的还会来 京东直接送到家 非常棒 价格也很实惠 颜色也搭配的很好 反正就很赞吧
质量 	很好 和以前购的一样质量 满意 尺码大小 号码 非常标准
卖家推荐	卖家推荐的尺寸很合身穿着也很舒服很赞哦
牌子 	班尼路牌子的衣服是我们家的最爱 春夏秋冬的衣服我们首选总是班尼路牌子 这次购买的男款夏季薄款短袖衫 很不错 正遇卖家搞活动很划算 真是物美价廉 继续购买 愿班尼路厂家生意兴隆 蒸蒸日上 越做越好
购买男款	班尼路牌子的衣服是我们家的最爱 春夏秋冬的衣服我们首选总是班尼路牌子 这次购买的男款夏季薄款短袖衫 很不错 正遇卖家搞活动很划算 真是物美价廉 继续购买 愿班尼路厂家生意兴隆 蒸蒸日上 越做越好
遇卖家	班尼路牌子的衣服是我们家的最爱 春夏秋冬的衣服我们首选总是班尼路牌子 这次购买的男款夏季薄款短袖衫 很不错 正遇卖家搞活动很划算 真是物美价廉 继续购买 愿班尼路厂家生意兴隆 蒸蒸日上 越做越好
本身就是冲着送优惠	本身就是冲着买送的优惠去了 但申请了次还是被拒绝了  虽然不贵 衣服还是不错 但有被欺骗的感觉
面料好	班尼路恤衫比想象的还要好 版型好 面料好 品质高 尺码标准 穿着柔软舒适 十分满意 大品牌值得信赖 以后会再来 昨天订 今天到 京东自营赞
品质高	班尼路恤衫比想象的还要好 版型好 面料好 品质高 尺码标准 穿着柔软舒适 十分满意 大品牌值得信赖 以后会再来 昨天订 今天到 京东自营赞
弹性挺大 	我的身高体重 尺码大小 弹性大小 弹性挺大的 下顿无压力舒适程度 非常舒适 适合春秋穿版型设计 属于直筒牛仔裤 拯救小腿粗的人面料材质 面料透气性尚可 不闷
舒适程度	我的身高体重 尺码大小 弹性大小 弹性挺大的 下顿无压力舒适程度 非常舒适 适合春秋穿版型设计 属于直筒牛仔裤 拯救小腿粗的人面料材质 面料透气性尚可 不闷
拯救小腿	我的身高体重 尺码大小 弹性大小 弹性挺大的 下顿无压力舒适程度 非常舒适 适合春秋穿版型设计 属于直筒牛仔裤 拯救小腿粗的人面料材质 面料透气性尚可 不闷
粗面料	我的身高体重 尺码大小 弹性大小 弹性挺大的 下顿无压力舒适程度 非常舒适 适合春秋穿版型设计 属于直筒牛仔裤 拯救小腿粗的人面料材质 面料透气性尚可 不闷
透气性尚可 	我的身高体重 尺码大小 弹性大小 弹性挺大的 下顿无压力舒适程度 非常舒适 适合春秋穿版型设计 属于直筒牛仔裤 拯救小腿粗的人面料材质 面料透气性尚可 不闷
薄透气	穿了一个多月 薄透气 一口气买了三件 感觉可以对付夏天上班了 价格也不贵 穿着非常舒服
价格不贵 	穿了一个多月 薄透气 一口气买了三件 感觉可以对付夏天上班了 价格也不贵 穿着非常舒服
像地摊	这个就不怎么行 感觉和黑色那件料都不同 像地摊一样的货色
祝商家	宝贝特别喜欢 颜值高质量好 中看又中用 有需要的朋友不要犹豫了 最后祝商家生意兴隆 真的很好用 对商品非常满意 属于无限回购款 推荐
商品非常满意	宝贝特别喜欢 颜值高质量好 中看又中用 有需要的朋友不要犹豫了 最后祝商家生意兴隆 真的很好用 对商品非常满意 属于无限回购款 推荐
款式非常不错	款式非常不错 颜色非常不错 布料非常不错 质感非常不错 总体超预期 厚度适中 适合春秋冬三季穿 班尼路是上学的时候梦以求的大品牌 当时太穷穿不起 现在终于能够随便买了 时代在变 但有些情怀不变
布料非常不错	款式非常不错 颜色非常不错 布料非常不错 质感非常不错 总体超预期 厚度适中 适合春秋冬三季穿 班尼路是上学的时候梦以求的大品牌 当时太穷穿不起 现在终于能够随便买了 时代在变 但有些情怀不变
质感非常不错	款式非常不错 颜色非常不错 布料非常不错 质感非常不错 总体超预期 厚度适中 适合春秋冬三季穿 班尼路是上学的时候梦以求的大品牌 当时太穷穿不起 现在终于能够随便买了 时代在变 但有些情怀不变
总体超	款式非常不错 颜色非常不错 布料非常不错 质感非常不错 总体超预期 厚度适中 适合春秋冬三季穿 班尼路是上学的时候梦以求的大品牌 当时太穷穿不起 现在终于能够随便买了 时代在变 但有些情怀不变
厚度适中	款式非常不错 颜色非常不错 布料非常不错 质感非常不错 总体超预期 厚度适中 适合春秋冬三季穿 班尼路是上学的时候梦以求的大品牌 当时太穷穿不起 现在终于能够随便买了 时代在变 但有些情怀不变
起球 	不起球 很薄 质量很好面料类型 纯棉面料质感 软
质量很好	不起球 很薄 质量很好面料类型 纯棉面料质感 软
质感 	不起球 很薄 质量很好面料类型 纯棉面料质感 软
降价 	不满意 刚买几天就降价 衣服掉色 洗了两次看着颜色变了
店家爱	店家爱搭不理 售后服务别指望 京东第一次差评 慎买
基本穿着	衣服非常透 基本穿着就  露
起毛 	面料类型 纯棉舒服贴身 穿在身上非常顺滑 不起毛 面料质感 手感滑 不热 舒适度高 没异味 透气性 滑 透气性足 试穿效果 休闲 百搭 怎么穿都行 而且容易配衣 穿戴方便 尺码大小 大小尺码非常合适 颜色耐看 其他特色 随性穿 容易搭配 夏天穿衣服简单又好看 值
质感 	面料类型 纯棉舒服贴身 穿在身上非常顺滑 不起毛 面料质感 手感滑 不热 舒适度高 没异味 透气性 滑 透气性足 试穿效果 休闲 百搭 怎么穿都行 而且容易配衣 穿戴方便 尺码大小 大小尺码非常合适 颜色耐看 其他特色 随性穿 容易搭配 夏天穿衣服简单又好看 值
手感滑	面料类型 纯棉舒服贴身 穿在身上非常顺滑 不起毛 面料质感 手感滑 不热 舒适度高 没异味 透气性 滑 透气性足 试穿效果 休闲 百搭 怎么穿都行 而且容易配衣 穿戴方便 尺码大小 大小尺码非常合适 颜色耐看 其他特色 随性穿 容易搭配 夏天穿衣服简单又好看 值
